,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max temp,Wind Speed
0,Vaini,0,IN,1552798800,42,15.34,74.49,84.2,3.36
1,Hermanus,68,ZA,1552799799,99,-34.42,19.24,64.99,1.01
2,Saint-Georges,76,CA,1552799843,66,46.12,-70.67,19.99,7.0
3,Hilo,40,US,1552800035,73,19.71,-155.08,73.4,4.7
4,Bredasdorp,88,ZA,1552799799,99,-34.53,20.04,64.99,1.01
5,Barrow,76,AR,1552800367,95,-38.31,-60.23,64.76,7.63
6,Tuktoyaktuk,40,CA,1552798800,77,69.44,-133.03,5.0,19.46
7,Dikson,76,RU,1552800368,92,73.51,80.55,8.96,26.31
8,Sioux Lookout,40,CA,1552798800,85,50.1,-91.92,17.6,4.7
9,Atuona,0,PF,1552800368,100,-9.8,-139.03,81.95,12.66
10,Busselton,0,AU,1552800310,31,-33.64,115.35,82.0,16.8
11,Kruisfontein,68,ZA,1552800368,90,-34.0,24.73,65.48,4.83
12,Komsomolskiy,88,RU,1552800369,83,67.55,63.78,17.15,11.99
13,Rikitea,80,PF,1552800369,100,-23.12,-134.97,77.63,21.83
14,Torbay,90,CA,1552800203,93,47.66,-52.73,43.0,24.16
15,Carnarvon,20,ZA,1552800369,86,-30.97,22.13,59.99,4.72
16,Inhambane,92,MZ,1552800369,84,-23.87,35.38,79.79,7.96
17,Port Alfred,8,ZA,1552800308,97,-33.59,26.89,69.01,1.99
18,Togur,36,RU,1552800369,88,58.36,82.83,25.97,4.05
19,Coahuayana,0,MX,1552800370,68,18.62,-100.35,60.89,2.15
20,Broken Hill,0,AU,1552795200,25,-31.97,141.45,86.0,11.41
21,Buala,0,SB,1552800370,70,-8.15,159.59,88.88,7.07
22,Hobart,20,AU,1552800314,56,-42.88,147.33,70.0,19.46
23,Mao,20,DO,1552800034,88,19.55,-71.08,73.0,6.93
24,Bethel,90,US,1552798560,85,60.79,-161.76,24.8,8.05
25,Taltal,0,CL,1552799776,89,-25.41,-70.49,54.59,2.37
26,Jamestown,0,AU,1552800371,75,-33.21,138.6,76.55,6.73
27,Ribeira Grande,68,PT,1552800372,94,38.52,-28.7,61.97,8.63
28,Lazaro Cardenas,20,MX,1552799708,34,28.39,-105.62,53.6,8.05
29,Bowen,0,AU,1552800326,62,-20.01,148.25,87.01,10.29
30,Puerto Ayora,44,EC,1552797916,90,-0.74,-90.35,75.0,1.99
31,Atasu,56,KZ,1552800372,93,48.68,71.64,24.53,13.0
32,Alofi,88,NU,1552795200,78,-19.06,-169.92,82.4,6.93
33,Tiznit,0,MA,1552800372,72,29.7,-9.73,57.83,0.58
34,Mataura,12,NZ,1552800006,73,-46.19,168.86,64.0,5.17
35,Albany,75,US,1552800063,63,42.65,-73.75,30.99,11.41
36,Kentau,20,KZ,1552800373,71,43.52,68.5,52.34,8.19
37,Shitanjing,68,CN,1552800373,16,39.23,106.34,53.42,3.71
38,Georgetown,0,GY,1552798800,94,6.8,-58.16,75.2,4.7
39,Cape Town,90,ZA,1552800365,93,-33.93,18.42,62.01,11.41
40,Xichang,92,CN,1552800341,40,27.88,102.25,69.01,2.37
41,Sitka,0,US,1552799715,64,37.17,-99.65,42.01,1.01
42,Bluff,8,AU,1552800375,98,-23.58,149.07,78.71,3.49
43,Richards Bay,24,ZA,1552800375,79,-28.77,32.06,76.19,10.54
44,Santa Isabel do Rio Negro,20,BR,1552800375,97,-0.41,-65.02,75.11,2.93
45,Lac du Bonnet,20,CA,1552800342,68,50.25,-96.06,9.23,3.27
46,Tucuman,8,PE,1552800375,86,-17.17,-70.89,54.77,1.36
47,Coracora,64,PE,1552800375,99,-15.02,-73.78,42.8,2.37
48,Laguna,48,MX,1552800375,68,27.52,-110.01,53.87,1.59
49,East London,0,ZA,1552798800,94,-33.02,27.91,71.6,6.93
50,New Norfolk,20,AU,1552800375,56,-42.78,147.06,70.0,19.46
51,Vardo,90,US,1552800125,47,39.62,-77.74,39.2,10.29
52,Ushuaia,75,AR,1552798800,93,-54.81,-68.31,46.4,4.7
53,Butaritari,92,KI,1552800376,100,3.07,172.79,74.39,0.25
54,Caravelas,80,BR,1552800376,100,-17.73,-39.27,82.85,13.67
55,Pingliang,92,CN,1552800167,47,35.54,106.68,45.0,2.48
56,Athboy,20,IE,1552800304,86,53.62,-6.92,36.0,16.11
57,Kerekegyhaza,0,HU,1552800341,86,46.94,19.48,44.01,4.7
58,Dukat,0,RS,1552800205,78,42.44,22.31,37.0,1.7
59,Eureka,40,US,1552800226,93,40.8,-124.16,51.01,3.36
60,Lagos,0,NG,1552800265,92,6.46,3.39,81.05,7.4
61,Omboue,92,GA,1552800377,100,-1.57,9.26,82.49,4.16
62,Upernavik,48,GL,1552800377,100,72.79,-56.15,-11.12,12.88
63,Souillac,90,FR,1552800348,93,45.6,-0.6,51.01,16.11
64,Hof,0,DE,1552800364,85,50.32,11.92,46.99,17.92
65,Portland,90,US,1552799898,53,45.52,-122.67,52.0,9.17
66,Cayenne,75,GF,1552798800,94,4.94,-52.33,73.4,7.96
67,Kachug,80,RU,1552800379,77,53.96,105.89,42.08,3.49
68,Saldanha,12,PT,1552800380,84,41.42,-6.55,32.63,5.17
69,Mobaye,8,CF,1552800380,86,4.33,21.18,75.2,2.48
70,Kochubey,92,RU,1552800380,100,44.39,46.54,43.79,3.38
71,Itarema,12,BR,1552800380,96,-2.92,-39.92,74.12,4.27
72,Saint-Philippe,90,CA,1552800369,62,45.36,-73.48,26.01,9.17
73,Nago,64,IT,1552800364,86,45.88,10.89,48.0,2.24
74,San Patricio,92,PY,1552800380,96,-26.98,-56.83,70.7,4.61
75,Port-Gentil,40,GA,1552798800,94,-0.72,8.78,78.8,4.7
76,Necochea,76,AR,1552799792,96,-38.55,-58.74,66.99,5.99
77,Constitucion,92,MX,1552800381,25,23.99,-104.67,54.41,6.73
78,Punta Arenas,90,CL,1552800197,100,-53.16,-70.91,51.8,12.75
79,Nanortalik,92,GL,1552800381,100,60.14,-45.24,25.79,20.04
80,Provideniya,0,RU,1552800381,100,64.42,-173.23,12.29,10.65
81,Dingle,24,PH,1552800381,59,11.0,122.67,86.18,14.79
82,Mar del Plata,92,AR,1552800382,44,-46.43,-67.52,66.56,11.21
83,Mandurah,0,AU,1552800019,43,-32.55,115.7,91.0,8.05
84,Lebu,5,ET,1552798800,51,8.96,38.73,62.6,5.82
85,Bucerias,90,MX,1552800309,100,20.76,-105.33,73.99,2.15
86,Klaksvik,20,FO,1552798200,80,62.23,-6.59,35.6,2.24
87,Salinopolis,68,BR,1552800382,94,-0.61,-47.36,80.87,11.21
88,Longyearbyen,20,NO,1552798200,49,78.22,15.63,1.4,1.36
89,Khatanga,12,RU,1552800383,73,71.98,102.47,-6.44,4.27
90,Fortuna,0,ES,1552800341,40,38.18,-1.13,55.99,10.29
91,Shimoda,75,JP,1552800311,50,34.7,138.93,59.0,10.29
92,Yellowknife,5,CA,1552799763,72,62.45,-114.38,19.99,10.29
93,Victoria,75,BN,1552798800,58,5.28,115.24,87.8,9.17
94,Havoysund,88,NO,1552798200,74,71.0,24.66,30.2,28.86
95,Arraial do Cabo,92,BR,1552800384,100,-22.97,-42.02,75.83,3.15
96,Nata,20,CY,1552798800,87,34.78,32.57,57.2,4.7
97,Mehamn,88,NO,1552800384,93,71.03,27.85,29.75,10.54
98,Narsaq,92,GL,1552798200,64,60.91,-46.05,33.8,19.46
99,Tasiilaq,92,GL,1552798200,72,65.61,-37.64,15.8,3.36
100,Kapaa,1,US,1552800203,69,22.08,-159.32,73.4,9.42
101,Pochutla,0,MX,1552799809,79,15.74,-96.47,78.01,4.05
102,Kudahuvadhoo,68,MV,1552800385,100,2.67,72.89,80.42,6.4
103,Nabire,32,ID,1552800385,75,-3.36,135.5,79.34,2.26
104,Thompson,90,CA,1552798800,57,55.74,-97.86,19.4,5.82
105,Avarua,92,CK,1552798800,88,-21.21,-159.78,77.0,24.16
106,Clyde River,1,CA,1552798800,74,70.47,-68.59,-23.81,13.87
107,Yar-Sale,64,RU,1552800386,92,66.83,70.83,3.56,6.06
108,Steamboat Springs,1,US,1552799700,67,40.48,-106.83,21.2,2.15
109,Miraflores,80,CO,1552800387,96,5.2,-73.14,52.43,1.14
110,Derzhavinsk,24,KZ,1552800387,97,51.1,66.31,23.99,12.21
111,Lincoln,0,GB,1552800366,86,53.23,-0.54,39.2,16.11
112,Todos Santos,75,MX,1552800333,63,23.45,-110.23,68.0,1.81
113,Ahipara,32,NZ,1552800388,67,-35.17,173.16,74.48,6.17
114,Codrington,92,AU,1552800170,65,-28.95,153.24,80.6,12.75
115,Changji,92,CN,1552800388,54,32.07,116.17,66.56,8.97
116,Calvia,20,ES,1552799951,100,39.57,2.51,51.01,2.24
117,Effium,24,NG,1552800389,92,6.63,8.06,75.02,5.84
118,Srednekolymsk,76,RU,1552800389,60,67.46,153.71,-7.16,3.27
119,San Ramon,48,NI,1552800129,87,12.92,-85.84,66.99,5.01
120,Sao Jose da Coroa Grande,32,BR,1552800389,96,-8.9,-35.15,76.82,1.7
121,Saint-Augustin,90,FR,1552800342,87,44.83,-0.61,53.6,14.99
122,Mingshui,92,CN,1552800389,100,22.81,109.89,65.93,2.82
123,Evensk,24,RU,1552800390,100,61.92,159.24,6.17,2.15
124,Gat,0,SN,1552798800,88,14.69,-16.54,66.2,11.41
125,Benguela,92,AO,1552800390,100,-12.58,13.4,79.52,2.04
126,Vallenar,0,CL,1552800390,70,-28.58,-70.76,53.6,3.71
127,Maniitsoq,44,GL,1552800390,84,65.42,-52.9,6.62,6.96
128,Spring Valley,1,US,1552800381,40,41.11,-74.04,37.99,13.87
129,Ostersund,88,SE,1552800105,92,63.18,14.64,27.0,6.93
130,Vero Beach,1,US,1552800336,88,27.64,-80.4,68.0,4.7
131,Florence,1,US,1552800353,42,34.8,-87.68,46.4,4.7
132,Geraldton,90,CA,1552798800,78,49.72,-86.95,15.8,2.24
133,Coihaique,0,CL,1552798800,54,-45.58,-72.07,57.2,27.51
134,Sinnamary,48,GF,1552800392,98,5.38,-52.96,78.17,11.43
135,Zhaotong,64,CN,1552800392,73,27.34,103.71,49.37,3.27
136,Pevek,20,RU,1552800392,88,69.7,170.27,-14.99,15.9
137,Port Elizabeth,1,US,1552800371,40,39.31,-74.98,39.99,10.29
138,Moindou,75,NC,1552798800,83,-21.69,165.68,84.2,8.05
139,Deputatskiy,56,RU,1552800392,74,69.3,139.9,-4.37,3.6
140,Ovre Ardal,92,NO,1552800392,81,61.32,7.8,20.03,8.75
141,Bourail,88,NC,1552800393,85,-21.57,165.5,78.17,5.06
142,Khanpur,0,PK,1552800393,79,28.65,70.66,75.29,5.84
143,Catio,0,GW,1552800393,58,11.28,-15.25,67.1,4.5
144,Santa Rosa,0,AR,1552800395,91,-36.62,-64.29,58.19,3.15
145,Mitu,80,IR,1552800395,99,36.2,46.09,37.67,2.93
146,Nacogdoches,1,US,1552800169,81,31.6,-94.66,53.6,3.83
147,Bambous Virieux,40,MU,1552800248,83,-20.34,57.76,82.4,4.7
148,Mahebourg,40,MU,1552800248,83,-20.41,57.7,82.4,4.7
149,Selma,1,US,1552800324,66,36.57,-119.61,60.8,2.37
150,Rio Claro,76,BR,1552800395,94,-22.41,-47.56,67.19,2.93
151,Ladario,80,PT,1552800302,89,40.7,-7.74,51.01,1.99
152,Lorengau,76,PG,1552800396,100,-2.02,147.27,81.23,8.63
153,Coquimbo,0,CL,1552798800,87,-29.95,-71.34,55.4,2.24
154,Kindu,8,CD,1552800396,88,-2.95,25.92,74.21,2.82
155,Biberach,0,DE,1552800379,48,48.29,10.22,46.4,13.87
156,Kodiak,1,US,1552800379,74,39.95,-94.76,41.0,6.93
157,Sobolevo,92,RU,1552800396,100,54.43,31.9,35.42,5.61
158,Ushumun,12,RU,1552800396,47,52.78,126.54,43.25,6.51
159,Abu Samrah,0,SY,1552800397,97,35.3,37.18,50.09,12.33
160,Pipri,32,IN,1552800397,43,24.21,83.02,82.85,3.94
161,Kendari,24,ID,1552800397,100,-3.99,122.52,79.88,2.71
162,Kununurra,0,AU,1552798800,52,-15.77,128.74,93.2,5.82
163,Castro,32,CL,1552798800,87,-42.48,-73.76,51.8,6.93
164,Tiksi,8,RU,1552800398,41,71.64,128.87,-13.46,4.27
165,Corinto,68,BR,1552800398,96,-18.36,-44.46,68.27,1.81
166,Cap Malheureux,40,MU,1552800248,83,-19.98,57.61,82.4,4.7
167,Paamiut,92,GL,1552800398,90,61.99,-49.67,32.09,24.29
168,Anchorage,90,US,1552800372,60,61.22,-149.89,44.6,12.55
169,Grebenskaya,90,RU,1552798800,81,43.53,46.37,44.6,2.24
170,Nyurba,48,RU,1552800399,50,63.29,118.35,14.18,8.19
171,Kohima,0,IN,1552797000,54,25.66,94.1,78.8,2.59
172,Severo-Kurilsk,68,RU,1552800399,100,50.68,156.12,28.31,3.94
173,Chokurdakh,68,RU,1552800399,74,70.62,147.9,-6.62,4.61
174,Berdigestyakh,0,RU,1552800399,52,62.1,126.7,12.92,6.17
175,Cabo San Lucas,75,MX,1552800031,63,22.89,-109.91,68.0,3.71
176,Abha,75,SA,1552795200,82,18.22,42.5,59.0,10.29
177,Deniliquin,0,AU,1552800400,72,-35.53,144.96,79.07,7.74
178,Bandrele,0,YT,1552798800,83,-12.91,45.19,84.2,3.36
179,Egvekinot,76,RU,1552800210,74,66.32,-179.17,-1.22,2.93
180,Baruun-Urt,0,MN,1552800400,23,46.68,113.28,54.5,18.37
181,Comodoro Rivadavia,0,AR,1552798800,56,-45.87,-67.48,69.8,8.05
182,Ahuimanu,1,US,1552800390,71,21.44,-157.84,77.0,13.87
183,Ternate,40,PH,1552800215,55,14.29,120.72,90.0,13.87
184,Yerofey Pavlovich,8,RU,1552800401,42,53.97,121.97,41.99,6.96
185,Sakaiminato,75,JP,1552798800,43,35.55,133.23,51.8,14.99
186,Rio Gallegos,0,AR,1552798800,87,-51.62,-69.22,55.4,11.41
187,Pangai,88,TO,1552800401,100,-19.8,-174.35,79.52,9.08
188,Saint George,0,GR,1552800203,70,39.45,22.34,51.01,5.82
189,Hithadhoo,32,MV,1552800401,100,-0.6,73.08,81.68,1.03
190,Avera,1,US,1552800337,93,33.19,-82.53,46.4,2.37
191,Numaligarh,0,IN,1552800402,62,26.63,93.73,77.0,3.38
192,Capesterre-Belle-Eau,0,GP,1552798800,94,16.04,-61.57,68.0,11.99
193,Pentecoste,32,BR,1552799289,95,-3.8,-39.27,73.99,3.38
194,Tingo Maria,24,PE,1552800402,95,-9.29,-76.01,61.97,1.7
195,Povenets,80,RU,1552800402,87,62.85,34.83,27.59,11.54
196,Santa Isabel,80,CO,1552800403,94,4.71,-75.1,64.58,2.26
197,Phonhong,40,LA,1552798800,49,18.5,102.42,91.4,4.7
198,Srandakan,68,ID,1552800403,88,-7.94,110.25,81.23,6.96
199,Lagoa,0,PT,1552800133,62,37.14,-8.45,55.4,3.36
200,Broome,24,GB,1552800380,86,52.47,1.45,43.0,13.87
201,Lodwar,0,KE,1552800404,44,3.12,35.6,83.57,2.71
202,Sistranda,40,NO,1552800120,100,63.73,8.83,32.0,17.22
203,Sao Filipe,0,CV,1552800404,98,14.9,-24.5,70.43,13.22
204,Faya,75,SA,1552795200,82,18.39,42.45,59.0,10.29
205,Elat,76,CM,1552800404,92,2.91,11.16,69.44,2.26
206,Grindavik,75,IS,1552799796,100,63.84,-22.43,36.0,4.7
207,Farafangana,12,MG,1552800405,98,-22.82,47.83,79.7,2.59
208,Angoche,44,MZ,1552800405,100,-16.23,39.91,81.32,9.98
209,Luanda,75,AO,1552795200,83,-8.83,13.24,78.8,9.17
210,Hasaki,75,JP,1552799977,100,35.73,140.83,57.0,5.82
211,Touros,20,BR,1552798800,94,-5.2,-35.46,77.0,3.36
212,Goure,20,NE,1552800405,20,13.98,10.27,73.94,13.78
213,Mitsamiouli,20,KM,1552798800,62,-11.38,43.28,86.0,2.24
214,Pimentel,92,BR,1552800406,95,-3.7,-45.5,75.29,2.59
215,Sao Gabriel da Cachoeira,92,BR,1552800406,96,-0.13,-67.09,73.22,2.15
216,Rocha,80,UY,1552800406,93,-34.48,-54.34,68.09,9.64
217,Faanui,80,PF,1552800406,99,-16.48,-151.75,84.29,9.08
218,Saint-Francois,0,FR,1552799747,93,46.42,3.91,35.6,1.12
219,Daru,8,SL,1552800407,93,7.99,-10.85,75.47,4.61
220,Chuy,92,UY,1552800407,94,-33.69,-53.46,72.23,18.7
221,Ponta do Sol,64,BR,1552800407,93,-20.63,-46.0,66.83,3.38
222,Sibolga,12,ID,1552800407,62,1.74,98.78,85.1,2.71
223,Isangel,75,VU,1552795200,66,-19.55,169.27,87.8,13.87
224,Nikolskoye,90,RU,1552800335,86,59.7,30.79,34.0,8.95
225,Airai,92,TL,1552800408,92,-8.93,125.41,72.5,1.7
226,Lavrentiya,80,RU,1552800408,92,65.58,-170.99,15.89,24.85
227,Linjiang,0,CN,1552800408,46,41.81,126.91,39.83,6.4
228,Hobyo,44,SO,1552800408,74,5.35,48.53,83.03,14.0
229,Saskylakh,0,RU,1552800408,73,71.97,114.09,-6.62,6.96
230,Kurilsk,92,RU,1552800408,93,45.23,147.88,30.29,3.38
231,Zhezkazgan,90,KZ,1552798800,73,47.8,67.71,19.4,22.37
232,Kaitangata,24,NZ,1552797248,79,-46.28,169.85,62.01,5.99
233,Placido de Castro,20,BR,1552800409,95,-10.34,-67.19,75.65,2.15
234,Meulaboh,0,ID,1552800409,100,4.14,96.13,85.01,3.15
235,Waipawa,20,NZ,1552799356,84,-39.94,176.59,61.0,5.28
236,Berlevag,32,NO,1552800409,100,70.86,29.09,27.05,13.44
237,Saint-Pierre,75,FR,1552800125,81,48.95,4.24,48.2,20.8
238,Noyabrsk,0,RU,1552800410,87,63.2,75.45,10.22,8.3
239,Iracoubo,0,GF,1552800410,79,5.48,-53.21,75.38,5.61
240,Vila Velha,75,BR,1552799289,94,-3.71,-38.6,75.2,2.24
241,Vila,75,IT,1552800364,93,45.18,8.4,52.0,4.7
242,Guozhen,92,CN,1552800411,98,29.3,113.14,55.76,2.93
243,Charlottetown,75,CA,1552800336,54,46.23,-63.13,28.99,17.22
244,Laukaa,88,FI,1552800342,93,62.42,25.95,32.0,6.93
245,Syamzha,76,RU,1552800411,94,60.02,41.06,28.04,9.19
246,Hamilton,20,CA,1552800378,73,43.26,-79.87,28.99,6.93
247,La Carlota,32,PH,1552800412,69,10.43,122.92,83.57,7.4
248,Verkh-Usugli,0,RU,1552800412,47,52.7,115.17,43.7,9.19
249,Mattawa,90,CA,1552800017,72,46.32,-78.7,18.0,17.22
250,Andra,0,RU,1552800412,74,62.52,65.89,14.09,3.71
251,Virginia Beach,20,US,1552800304,86,36.85,-75.98,48.0,3.36
252,Ewo,56,CG,1552800412,92,-0.88,14.81,73.4,3.27
253,Mayo,75,CA,1552798800,64,63.59,-135.9,33.8,3.36
254,Beloha,8,MG,1552800413,66,-25.17,45.06,81.32,11.1
255,Natal,0,BR,1552798800,88,-5.81,-35.21,77.0,2.24
256,Balaguer,0,ES,1552800244,80,41.79,0.81,46.0,1.12
257,Elbistan,20,TR,1552800413,76,38.2,37.19,34.52,11.65
258,Pangnirtung,36,CA,1552800413,46,66.15,-65.72,-16.16,4.38
259,Lakes Entrance,0,AU,1552800303,72,-37.88,147.99,82.0,10.0
260,Auki,0,NG,1552800414,26,12.18,6.51,71.69,11.43
261,Alice Springs,48,AU,1552798800,10,-23.7,133.88,95.0,18.34
262,Morganton,1,US,1552800354,40,35.75,-81.69,44.01,4.16
263,Molchanovo,48,RU,1552800414,97,57.58,83.76,25.34,4.16
264,Puerto Escondido,0,MX,1552800414,99,15.86,-97.07,82.76,11.65
265,Tete,92,MZ,1552800367,100,-16.16,33.59,74.39,4.16
